region,provider,official_url,city_or_campus,age_range,programme_type,residential_or_day,dates_2026_or_next_available,fee_public_or_tbc,English_requirement,application_route,why_fit_chinese_families,risk_or_unknown
Ireland,DCU International Academy Junior Residential Programme,https://english.dcu.ie/accommodation/summer-residential-programme/,Dublin City University Glasnevin Campus,Junior students - exact age TBC,English communication + activities + campus living,Residential groups only,June intakes 2026-06-07/14/21; July 2026-07-19/26; August 2026-08-02/09/16/23,By quotation / proposal,English language learning programme,Enquiry form / request a proposal,Strong university-campus route with full-board residence airport transfer activities and group operations,Groups only; individual juniors cannot register; agent terms to confirm
Ireland,ISI Dublin Residential Programme,https://summercamp.studyinireland.ie/,Dublin city centre,Residential 14-17,English lessons + activities + excursions,Residential + homestay,2026 TBC,Fee TBC; provider has separate fees page,ESL,Website enquiry,City-centre Dublin route with residential option and multilingual parent-facing materials,Exact 2026 dates fee table and agent terms to confirm from official pages
Ireland,Babel Academy Junior Summer School,https://babelacademy.ie/our-course/junior-summer-school/,Dublin / DCU residence / Manor House Raheny,11-17,English lessons + social programme + excursions,Homestay or DCU residence,Homestay 2026-06-28 to 2026-08-02; residence dates TBC from page,Fee TBC,Entry level test; English course,School enquiry / application route,Offers both homestay and university residence options with airport transfers and full-board package,Full 2026 fees and residence dates to confirm
Ireland,Swan Junior International Summer Programme at UCD,https://selt.ie/junior-courses/junior-international-summer-programme/,University College Dublin Belfield,12-17,General English + drama/art/sport + Dublin attractions,Homestay or residential options,Classes 2026-06-29 to 2026-08-07 per price list; residential window also listed,Fee in linked 2026 price list - exact package to confirm,Junior English programme,School enquiry / booking,Premium UCD campus route with international mix and clear 12-17 positioning,Need confirm exact package price and accommodation availability
Ireland,Atlas Junior Summer Programmes,https://atlaslanguageschool.com/atlas-junior-summer-programmes/,Dublin / Clare / UK Chichester route,Junior learners - exact age by centre TBC,English + cultural / sporting / artistic social programme,Residential / host family by programme TBC,2026 programme page available; exact dates by centre TBC,Fee TBC,English improvement programme,Enquiry / programme application,Strong welfare language and multiple Ireland centres for route variety,Exact ages dates fees and accommodation by centre to confirm
Ireland,Delfin Juniors,https://delfinschool.com/junior-camps/,Dublin St Columba's / Cork UCC,Junior students - exact age TBC,English + activities + international camp,Residential campus route,Summer 2026,Fee TBC,English learning programme,Enquire / brochure,Dublin and Cork campus choices with stated 24/7 supervision and 50+ nationalities,Need exact ages dates package fees and agent terms
Ireland,SEDA Summer,https://sedasummer.com/,Dublin / Cork / Limerick / Galway,Junior Summer School - exact age TBC,English immersion + cultural activities + accommodation,Campus living / residential accommodation,2026 routes available; exact dates TBC,Quote-based,All levels from Elementary to Advanced,Get quote / enquiry,Four-city Ireland network with accredited SEDA College backing and China testimonial signal,Exact junior dates ages fees and residence details to confirm
Ireland,DLTC Summer Junior English & Activity Programme,https://dltc.ie/summer-junior-english-course-ireland/,Dun Laoghaire / Dublin,Teenagers - exact age TBC,English classes + extracurricular activities + excursions,Accommodation details TBC,2026-06-29 to 2026-08-08,Fee TBC,English language course,School enquiry,Clear Dublin coastal location and published 2026 operating window,Need ages accommodation fees and agent terms
Ireland,Welcome Ireland English Summer Camp,https://welcomeireland.ie/courses/english-summer-camp-in-ireland/,Dublin,9-17,English language + sports/social activities,Residence or homestay,2026-06-21 to 2026-08-16,Fee TBC,English language programme,Enquiry / booking,Useful lower-age route with residence/homestay choice and long summer window,Need exact fees package inclusions and supervision details
Ireland,ICE Ireland English Summer Camp,https://www.iceireland.com/english-summer-camp-ireland/,Dublin Malahide homestay / Glenstal Abbey / Clongowes Wood College residential,Junior / teen exact age TBC,English + multi-activity,Residential + homestay,Homestay 2026-06-15 to 2026-08-23; Glenstal 2026-06-28 to 2026-07-26; Clongowes 2026-06-28 to 2026-07-26,Fee TBC,ESL,Website enquiry,2026 dates are published; boarding-school campus routes and airport transfer / Dublin transport-card signal are strong for Chinese families,Exact age fee table and agent terms to confirm
