page_unit,domain,risk,title,tags,terms,learning_focus
001,Priority and Delegation,medium-review,Page Unit 001: 優先順序與委派 / Priority and Delegation,prioritization; delegation_scope; safety,priority; first action; unstable client; RN assessment; delegate,這類題的核心不是哪個選項也正確，而是哪個行動最先保護安全。看到 first、priority、new、sudden、worsening，要先找不穩定線索。
002,Question Language,medium-review,Page Unit 002: 題幹語言 / Question Language,english_wording; test_strategy,requires follow-up; further teaching; expected finding; contraindicated; most appropriate,題幹詞控制答題方向。requires follow-up 是找異常或不安全；needs further teaching 是找病人錯誤理解；first 是找最先行動。
003,Pharmacology Safety,high-review,Page Unit 003: 藥理安全 / Pharmacology Safety,pharmacology; knowledge_gap; safety,adverse effect; toxicity; monitor; bleeding risk; patient teaching,藥理題不要只背用途。先問這個藥最怕什麼 harm，需要監測什麼，病人哪句話顯示危險誤解。
004,Maternal-Child Safety,high-review,Page Unit 004: 產兒安全 / Maternal-Child Safety,maternal_safety; cue_recognition; prioritization,heavy lochia; boggy uterus; late decelerations; newborn distress; per protocol,產兒題不是只背週數。先看母體、胎兒或新生兒是否正在失去穩定：出血、胎心、呼吸、血糖、感染與高血壓危象。
005,Mental Health Communication,high-review,Page Unit 005: 精神健康與溝通 / Mental Health Communication,therapeutic_communication; mental_health; safety,therapeutic communication; false reassurance; suicidal ideation; reflection; open-ended question,治療性溝通不是日常安慰。遇到自傷他傷風險，直接評估安全；遇到妄想，不爭辯也不強化妄想。
006,Safety and Infection Control,high-review,Page Unit 006: 安全與感染控制 / Safety and Infection Control,safety_infection; cue_recognition,standard precautions; airborne; contact; aspiration; sepsis,安全題先問 harm 來源：跌倒、誤吸、出血、感染傳播、低氧、敗血症或管路損傷。感染控制先問傳播途徑。
007,NGN Case Reasoning,high-review,Page Unit 007: NGN 病例推理 / NGN Case Reasoning,ngn; clinical_judgment; cue_recognition,recognize cues; analyze cues; take action; evaluate outcomes; trend,NGN 長病例要讀成時間線。不要把所有資料看成同等重要，先找變化，再找主要風險，再選行動與評估結果。
008,OSCE Transition,medium-review,Page Unit 008: OSCE 轉換 / OSCE Transition,osce_transition; communication; clinical_judgment,assessment; escalation; handover; reassessment; documentation,"如果能選對但說不出理由，OSCE 仍有風險。每道錯題都要練一句英文：I am concerned about..., I would assess..., I would escalate..."
009,Priority and Delegation,medium-review,Page Unit 009: 優先順序與委派 / Priority and Delegation,prioritization; delegation_scope; safety,priority; first action; unstable client; RN assessment; delegate,這類題的核心不是哪個選項也正確，而是哪個行動最先保護安全。看到 first、priority、new、sudden、worsening，要先找不穩定線索。
010,Question Language,medium-review,Page Unit 010: 題幹語言 / Question Language,english_wording; test_strategy,requires follow-up; further teaching; expected finding; contraindicated; most appropriate,題幹詞控制答題方向。requires follow-up 是找異常或不安全；needs further teaching 是找病人錯誤理解；first 是找最先行動。
011,Pharmacology Safety,high-review,Page Unit 011: 藥理安全 / Pharmacology Safety,pharmacology; knowledge_gap; safety,adverse effect; toxicity; monitor; bleeding risk; patient teaching,藥理題不要只背用途。先問這個藥最怕什麼 harm，需要監測什麼，病人哪句話顯示危險誤解。
012,Maternal-Child Safety,high-review,Page Unit 012: 產兒安全 / Maternal-Child Safety,maternal_safety; cue_recognition; prioritization,heavy lochia; boggy uterus; late decelerations; newborn distress; per protocol,產兒題不是只背週數。先看母體、胎兒或新生兒是否正在失去穩定：出血、胎心、呼吸、血糖、感染與高血壓危象。
013,Mental Health Communication,high-review,Page Unit 013: 精神健康與溝通 / Mental Health Communication,therapeutic_communication; mental_health; safety,therapeutic communication; false reassurance; suicidal ideation; reflection; open-ended question,治療性溝通不是日常安慰。遇到自傷他傷風險，直接評估安全；遇到妄想，不爭辯也不強化妄想。
014,Safety and Infection Control,high-review,Page Unit 014: 安全與感染控制 / Safety and Infection Control,safety_infection; cue_recognition,standard precautions; airborne; contact; aspiration; sepsis,安全題先問 harm 來源：跌倒、誤吸、出血、感染傳播、低氧、敗血症或管路損傷。感染控制先問傳播途徑。
015,NGN Case Reasoning,high-review,Page Unit 015: NGN 病例推理 / NGN Case Reasoning,ngn; clinical_judgment; cue_recognition,recognize cues; analyze cues; take action; evaluate outcomes; trend,NGN 長病例要讀成時間線。不要把所有資料看成同等重要，先找變化，再找主要風險，再選行動與評估結果。
016,OSCE Transition,medium-review,Page Unit 016: OSCE 轉換 / OSCE Transition,osce_transition; communication; clinical_judgment,assessment; escalation; handover; reassessment; documentation,"如果能選對但說不出理由，OSCE 仍有風險。每道錯題都要練一句英文：I am concerned about..., I would assess..., I would escalate..."
017,Priority and Delegation,medium-review,Page Unit 017: 優先順序與委派 / Priority and Delegation,prioritization; delegation_scope; safety,priority; first action; unstable client; RN assessment; delegate,這類題的核心不是哪個選項也正確，而是哪個行動最先保護安全。看到 first、priority、new、sudden、worsening，要先找不穩定線索。
018,Question Language,medium-review,Page Unit 018: 題幹語言 / Question Language,english_wording; test_strategy,requires follow-up; further teaching; expected finding; contraindicated; most appropriate,題幹詞控制答題方向。requires follow-up 是找異常或不安全；needs further teaching 是找病人錯誤理解；first 是找最先行動。
019,Pharmacology Safety,high-review,Page Unit 019: 藥理安全 / Pharmacology Safety,pharmacology; knowledge_gap; safety,adverse effect; toxicity; monitor; bleeding risk; patient teaching,藥理題不要只背用途。先問這個藥最怕什麼 harm，需要監測什麼，病人哪句話顯示危險誤解。
020,Maternal-Child Safety,high-review,Page Unit 020: 產兒安全 / Maternal-Child Safety,maternal_safety; cue_recognition; prioritization,heavy lochia; boggy uterus; late decelerations; newborn distress; per protocol,產兒題不是只背週數。先看母體、胎兒或新生兒是否正在失去穩定：出血、胎心、呼吸、血糖、感染與高血壓危象。
