"review_status","reviewer_name","review_date","item_id","category","source_file","generated","stem","stem_zh","answer","rationale","rationale_zh","clinical_safety_notes","language_notes","approved_for_beta"
"pending","","","D001","delegation_scope","question_bank_beta_20.json","no","Which task is most appropriate for the RN to delegate to unlicensed assistive personnel?","下列哪項最適合由 RN 委派給無照護理輔助人員？","C","Routine assistance with ambulation for a stable client is appropriate. Teaching, new symptom assessment and evaluation require RN judgment.","穩定病人的例行行走協助可委派。教學、新症狀評估與療效評價需要 RN 判斷。","","",""
"pending","","","D002","delegation_scope","question_bank_beta_20.json","no","Which assignment should the charge nurse give to an experienced LPN/LVN rather than UAP?","下列哪項更適合分配給有經驗的 LPN/LVN，而不是 UAP？","B","Depending on jurisdiction and facility policy, LPN/LVN may reinforce teaching after RN instruction; UAP should not teach.","依地區與機構規範，LPN/LVN 可在 RN 教學後補強說明；UAP 不應承擔教學。","","",""
"pending","","","D003","delegation_scope","question_bank_expansion_30.json","no","Which client should the RN assign to another RN rather than to an LPN/LVN?","下列哪位病人應由 RN 接手，而不是分配給 LPN/LVN？","B","A newly admitted unstable client with neurologic changes requires RN assessment and judgment.","新入院且有神經變化的不穩定病人需要 RN 評估與判斷。","","",""
"pending","","","D004","delegation_scope","question_bank_expansion_30.json","no","Which instruction should the RN give to UAP when delegating care?","RN 委派照護給 UAP 時，哪項指示最合適？","B","UAP may report observations during a delegated routine task; assessment, medication decisions and teaching remain RN responsibilities.","UAP 可在例行任務中回報觀察；評估、藥物決策與教學屬 RN 職責。","","",""
"pending","","","D005","delegation_scope","question_bank_expansion_50.json","no","Which task should the RN keep rather than delegate?","哪項任務應由 RN 保留而不是委派？","A","Initial assessment requires RN judgment and should not be delegated.","初始評估需要 RN 判斷，不應委派。","","",""
"pending","","","D006","delegation_scope","question_bank_expansion_50.json","no","The RN delegates vital signs to UAP. Which instruction is best?","RN 委派 UAP 量生命徵象。哪項指示最好？","A","Delegated tasks should include clear reporting parameters. Medication decisions, assessment and teaching remain RN functions.","委派任務應有明確回報標準；藥物決策、評估與教學屬 RN 職責。","","",""
"pending","","","E001","english_wording","question_bank_beta_20.json","no","The question asks which statement by the client indicates a need for further teaching. What is the question asking you to find?","題目問病人哪句話 indicates a need for further teaching。這是在問你找什麼？","B","Further teaching means the client has misunderstood or needs more instruction.","Further teaching 表示病人有誤解或仍需更多教學。","","",""
"pending","","","E002","english_wording","question_bank_beta_20.json","no","In an NCLEX question, the word 'priority' usually means:","NCLEX 題目中的 priority 通常表示：","B","Priority asks for the safest or most urgent nursing action in context.","Priority 問的是該情境中最安全或最緊急的護理行動。","","",""
"pending","","","E003","english_wording","question_bank_expansion_30.json","no","The phrase 'expected finding' in a question usually asks the learner to identify:","題目中的 expected finding 通常要求考生辨識：","A","Expected finding means anticipated or consistent with the condition/treatment, not necessarily urgent.","Expected finding 表示與情況/治療一致或可預期，不一定緊急。","","",""
"pending","","","E004","english_wording","question_bank_expansion_30.json","no","When a question asks for the 'best' response, the learner should choose the option that is:","當題目問 best response 時，考生應選：","B","Best asks for the most appropriate response in context, often combining safety and therapeutic communication.","Best 問的是情境中最合適的回應，常結合安全與治療性溝通。","","",""
"pending","","","E005","english_wording","question_bank_expansion_50.json","no","When an option says 'notify the provider,' what should the learner check first?","選項寫 notify the provider 時，考生應先檢查什麼？","A","Notification may be correct, but the nurse often needs focused assessment or immediate safety intervention first.","通知可能正確，但護理師常需先做重點評估或立即安全處理。","","",""
"pending","","","E006","english_wording","question_bank_expansion_50.json","no","The phrase 'requires immediate intervention' most closely means:","requires immediate intervention 最接近的意思是：","A","Immediate intervention means prompt action is needed for safety or clinical risk.","Immediate intervention 表示因安全或臨床風險需要及時處理。","","",""
"pending","","","MC001","maternal_child","question_bank_beta_20.json","no","A postpartum client has a boggy uterus and heavy lochia. What should the nurse do first?","產後病人子宮鬆軟且惡露量多。護理師應先做什麼？","B","A boggy uterus with heavy lochia suggests uterine atony and bleeding risk. In this NCLEX-style context, fundal massage is the expected immediate nursing action for suspected atony, while real clinical practice should follow facility protocol and provider or midwifery guidance after assessment.","子宮鬆軟合併惡露量多提示子宮收縮乏力與出血風險，應立即按摩子宮底。","","",""
"pending","","","MC002","maternal_child","question_bank_beta_20.json","no","Which prenatal finding should the nurse report immediately?","下列哪個產前發現應立即回報？","B","Severe headache with visual changes may indicate preeclampsia and requires prompt follow-up.","嚴重頭痛合併視覺變化可能提示子癲前症，需要立即追蹤。","","",""
"pending","","","MC003","maternal_child","question_bank_expansion_30.json","no","Which newborn finding requires immediate follow-up?","下列哪個新生兒發現需要立即追蹤？","B","Grunting and nasal flaring indicate respiratory distress and require immediate assessment.","呼吸呻吟與鼻翼煽動提示呼吸窘迫，需要立即評估。","","",""
"pending","","","MC004","maternal_child","question_bank_expansion_30.json","no","A pregnant client reports decreased fetal movement. What should the nurse do?","孕婦回報胎動減少。護理師應怎麼做？","B","Decreased fetal movement may indicate fetal well-being concern and requires timely evaluation.","胎動減少可能提示胎兒狀況問題，需要及時評估。","","",""
"pending","","","MC005","maternal_child","question_bank_expansion_50.json","no","A newborn is jittery and has poor feeding. Which assessment is priority?","新生兒顫抖且餵食差。優先評估是？","A","Jitteriness and poor feeding may indicate hypoglycemia in a newborn.","新生兒顫抖和餵食差可能提示低血糖。","","",""
"pending","","","MC006","maternal_child","question_bank_expansion_50.json","no","Which postpartum finding should the nurse report promptly?","產後哪個發現應及時回報？","A","Rapid pad saturation suggests excessive bleeding and requires prompt action.","產墊快速浸透提示出血過多，需要及時處理。","","",""
"pending","","","MIX001","mixed_review","question_bank_expansion_30.json","no","Which finding in a client with heart failure requires the most immediate follow-up?","心衰病人下列哪個發現最需要立即追蹤？","A","Sudden weight gain with worsening dyspnea suggests fluid overload and respiratory compromise.","體重突然增加合併呼吸困難加重提示液體負荷與呼吸風險。","","",""
"pending","","","MIX002","mixed_review","question_bank_expansion_30.json","no","Which client statement after stroke discharge teaching indicates understanding?","中風出院教學後，病人哪句話表示理解？","A","Facial droop, slurred speech or unilateral weakness may signal stroke and require emergency response.","臉歪、語言含糊或單側無力可能提示中風，需要緊急處理。","","",""
"pending","","","MIX003","mixed_review","question_bank_expansion_30.json","no","A client with chronic kidney disease reports palpitations and weakness. Which lab value is most concerning?","慢性腎病病人回報心悸和無力。哪個化驗值最令人擔心？","A","Hyperkalemia can cause life-threatening dysrhythmias and is a priority concern.","高血鉀可造成危及生命的心律不整，是優先風險。","","",""
"pending","","","MIX004","mixed_review","question_bank_expansion_50.json","no","Which client with abdominal pain should be assessed first?","腹痛病人中哪位應先評估？","A","Rigid abdomen with hypotension suggests possible acute abdomen/perfusion concern.","腹部僵硬合併低血壓提示可能急腹症/灌流風險。","","",""
"pending","","","MIX005","mixed_review","question_bank_expansion_50.json","no","Which discharge statement after heart failure teaching requires further teaching?","心衰出院教學後哪句話表示需要進一步教學？","C","Stopping medication without provider guidance shows misunderstanding.","未經指示自行停藥表示理解錯誤。","","",""
"pending","","","MIX006","mixed_review","question_bank_expansion_50.json","no","Which client with chest discomfort requires immediate assessment?","胸部不適病人中哪位需要立即評估？","A","Chest pressure with diaphoresis and nausea may indicate acute coronary syndrome.","胸部壓迫感合併出汗和噁心可能提示急性冠脈綜合徵。","","",""
"pending","","","NGN001","ngn","question_bank_beta_20.json","no","Which cues require immediate nursing attention? Select all that apply.","哪些線索需要立即護理關注？可多選。","B|C|D","Worsening shortness of breath, restlessness and low oxygen saturation indicate immediate breathing/oxygenation concern.","呼吸困難加重、不安與血氧偏低提示立即 breathing/oxygenation 風險。","","",""
"pending","","","NGN002","ngn","question_bank_beta_20.json","no","Which findings are most concerning? Select all that apply.","哪些發現最令人擔心？可多選。","A|B|C|D","Together these cues suggest possible postoperative complication, infection/sepsis or perfusion concern and need urgent attention.","這些線索合併提示可能術後併發症、感染/敗血症或灌流問題，需要緊急關注。","","",""
"pending","","","NGN003","ngn","question_bank_expansion_30.json","no","Which cues suggest possible sepsis? Select all that apply.","哪些線索提示可能敗血症？可多選。","A|B|C|D","Infection with mental status change, fever, tachycardia and hypotension is concerning for sepsis and poor perfusion.","感染合併意識變化、發燒、心動過速與低血壓提示敗血症與灌流不良風險。","","",""
