term,zh,category,study_note
clinical judgment,臨床判斷,core,"The ability to recognize cues, analyze them, prioritize hypotheses, take action and evaluate outcomes."
cue,線索,NGN,"A piece of patient data that may change nursing priority."
prioritization,優先順序,core,"Choosing what matters most now, not simply what is true."
delegation,委派/授權執行,scope,"Assigning appropriate tasks based on client stability and staff scope."
scope of practice,執業範圍,scope,"What a role is allowed and expected to do safely."
therapeutic communication,治療性溝通,communication,"Communication that supports safety, trust and client-centered care."
unstable client,不穩定病人,priority,"A client with changing, acute or high-risk condition requiring RN attention."
expected finding,預期發現,assessment,"A finding consistent with the condition or treatment."
unexpected finding,非預期發現,assessment,"A finding that may indicate complication or deterioration."
requires follow-up,需要追蹤,question-language,"Often asks which finding is abnormal or unsafe."
further teaching,需要進一步教學,question-language,"Often asks which statement shows misunderstanding."
airway,呼吸道,ABC,"First part of ABC priority logic."
breathing,呼吸,ABC,"Oxygenation and ventilation concerns."
circulation,循環,ABC,"Perfusion, bleeding, shock and pulse concerns."
infection control,感染控制,safety,"Precautions, isolation, hand hygiene and exposure prevention."
readiness assessment,備考狀態測評,study-tool,"Commercial readiness scores are signals, not guarantees."
ATT,Authorization to Test 考試授權,process,"Candidates must follow their own ATT validity dates."
OSCE,客觀結構式臨床考試,process,"Stream B candidates still need OSCE after MCQ/NCLEX-RN before registration eligibility."
NCLEX-RN,註冊護士執照考試,process,"An exam used by nursing regulatory bodies; this product is an independent study aid."
NCSBN,美國國家護理委員會全國理事會,process,"The organization that develops NCLEX; always check official materials."
Pearson VUE,考試預約與考場服務機構,process,"Testing vendor for NCLEX scheduling and test delivery."
Ahpra,澳洲健康從業者監管機構,process,"Australian regulator; individual dashboard and correspondence are authoritative."
NMBA,澳洲護理與助產委員會,process,"Nursing and midwifery board; registration requirements can change."
OBA,outcomes-based assessment 成果導向評估,process,"Assessment pathway that may include orientation, portfolio, MCQ and OSCE components."
MCQ,multiple-choice question 選擇題,process,"For Stream B RN candidates, the MCQ stage is commonly linked with NCLEX-RN."
portfolio,文件組合,process,"Candidate evidence reviewed by regulator; requirements are individual-case specific."
registration standard,註冊標準,process,"Official standard for registration such as English language and recency requirements."
recency of practice,近期執業要求,process,"Evidence of recent practice according to regulator instructions."
NCLEX test plan,NCLEX 考試大綱,study-tool,"Official map of content categories, clinical judgment and item writing."
candidate bulletin,考生手冊,study-tool,"Official exam administration guide; verify before registration and publication."
client needs,病人需求類別,core,"NCLEX content framework organized around safe client care needs."
Safe and Effective Care Environment,安全有效照護環境,client-needs,"Client-needs area covering management of care and safety."
Health Promotion and Maintenance,健康促進與維持,client-needs,"Client-needs area covering prevention, development and education."
Psychosocial Integrity,心理社會完整性,client-needs,"Client-needs area covering coping, communication and mental health."
Physiological Integrity,生理完整性,client-needs,"Client-needs area covering basic care, pharmacology and physiological adaptation."
management of care,照護管理,client-needs,"Coordination, delegation, supervision and prioritization of safe care."
safety and infection control,安全與感染控制,client-needs,"Prevent harm, reduce infection risk and respond to hazards."
basic care and comfort,基本照護與舒適,client-needs,"Assistance with ADLs, comfort and non-pharmacological care."
pharmacological therapies,藥物治療,client-needs,"Medication purpose, risk, monitoring and teaching."
reduction of risk potential,降低潛在風險,client-needs,"Identify findings that may signal complications."
physiological adaptation,生理適應,client-needs,"Respond to acute illness, instability and pathophysiological changes."
recognize cues,辨識線索,clinical-judgment,"Find relevant information in the stem or case."
analyze cues,分析線索,clinical-judgment,"Interpret what cues mean clinically."
prioritize hypotheses,排序假設,clinical-judgment,"Decide which explanation is most urgent or likely."
generate solutions,產生處理方案,clinical-judgment,"Identify safe possible nursing actions."
take action,採取行動,clinical-judgment,"Choose what to do now."
evaluate outcomes,評估結果,clinical-judgment,"Judge whether the action worked and what to do next."
ABC,呼吸道-呼吸-循環,priority,"Priority framework for airway, breathing and circulation."
Maslow,馬斯洛需求層次,priority,"Priority tool; physiological safety usually comes before education or comfort."
acute,急性,priority,"New or rapidly changing; often higher priority than chronic stable issues."
chronic,慢性,priority,"Long-standing; priority depends on stability and current change."
stable,穩定,priority,"Predictable condition without acute change."
unstable,不穩定,priority,"Changing, acute or high-risk condition requiring prompt RN attention."
first action,第一步行動,question-language,"Often asks what the nurse should do before other correct actions."
priority,優先事項,question-language,"Choose the most urgent or safest option in context."
most appropriate,最合適,question-language,"Select the option best aligned with safety, scope and context."
needs further teaching,需要進一步教學,question-language,"A statement showing misunderstanding or unsafe practice."
contraindicated,禁忌/不適合,question-language,"Should not be done because it may cause harm."
report promptly,及時回報,question-language,"Escalate concerning findings according to protocol."
per protocol,按流程,compliance,"Signals facility policy or official instructions must guide the action."
provider notification,通知醫師/團隊,scope,"Important escalation action, but nursing assessment or immediate safety action may come first."
RN assessment,RN 評估,scope,"Initial or complex assessment that should remain with the RN."
UAP,無照護理輔助人員,scope,"Assistive personnel; appropriate for stable routine tasks under direction."
LPN/LVN,實務護士/職業護士,scope,"Scope varies by jurisdiction and facility; stable predictable care may be appropriate."
teaching,教學,scope,"Initial or complex teaching generally requires RN responsibility."
evaluation,評價,scope,"Judging response or effectiveness requires RN judgment."
SBAR,情境-背景-評估-建議,communication,"Structured escalation format: Situation, Background, Assessment, Recommendation."
open-ended question,開放式問題,communication,"Invites expression without forcing yes/no answers."
reflection,反映情緒,communication,"Restate feeling or meaning to support therapeutic communication."
false reassurance,虛假安慰,communication,"Saying everything will be fine without evidence; usually nontherapeutic."
closed question,封閉式問題,communication,"Useful for specific safety checks but less exploratory."
suicidal ideation,自殺意念,mental-health,"Requires direct risk assessment and safety escalation."
panic,恐慌,mental-health,"Use calm, simple communication and stay with the client."
delusion,妄想,mental-health,"Do not argue; acknowledge concern and maintain safety."
mania,躁症,mental-health,"Low-stimulation environment and brief clear directions support safety."
sepsis,敗血症,safety,"Infection plus abnormal vitals or mental-status change requires prompt response."
shock,休克,safety,"Poor perfusion state requiring urgent assessment and escalation."
hypoxia,低氧,safety,"Low oxygenation; restlessness may be an early cue."
aspiration,誤吸,safety,"Risk when food, fluid or secretions enter the airway."
airborne precautions,空氣隔離,infection-control,"Used for airborne infection concerns, usually with special ventilation."
contact precautions,接觸隔離,infection-control,"Used when organisms spread by direct or indirect contact."
droplet precautions,飛沫隔離,infection-control,"Droplet spread precautions; follow facility policy."
negative-pressure room,負壓房,infection-control,"Room type often used for airborne precautions."
hand hygiene,手部衛生,infection-control,"Core infection prevention action before and after care."
soap and water,肥皂水洗手,infection-control,"Important when spores such as C. difficile are involved."
PPE,個人防護裝備,infection-control,"Gloves, gown, mask or eye protection according to risk."
hyperkalemia,高血鉀,lab-values,"Can cause life-threatening dysrhythmias."
hypokalemia,低血鉀,lab-values,"Can cause weakness and dysrhythmia risk."
hypoglycemia,低血糖,lab-values,"May cause sweating, tremor, confusion and urgent safety risk."
hyperglycemia,高血糖,lab-values,"May require assessment for dehydration, DKA or HHS context."
SpO2,血氧飽和度,lab-values,"Oxygen saturation; low values require respiratory assessment."
INR,國際標準化比值,lab-values,"Used to monitor warfarin anticoagulation."
aPTT,活化部分凝血活酶時間,lab-values,"Often associated with heparin monitoring."
BGL,血糖,lab-values,"Blood glucose level; local abbreviation may vary."
creatinine,肌酐,lab-values,"Kidney function marker important for medication safety."
digoxin,地高辛,pharmacology,"Assess apical pulse and watch toxicity cues according to context."
heparin,肝素,pharmacology,"Anticoagulant; bleeding signs require prompt follow-up."
warfarin,華法林,pharmacology,"Anticoagulant; INR and bleeding education matter."
insulin lispro,速效胰島素 lispro,pharmacology,"Rapid-acting insulin timed near meals as prescribed."
prednisone,潑尼松,pharmacology,"Steroid; do not stop abruptly without provider guidance."
gentamicin,慶大霉素,pharmacology,"Aminoglycoside; monitor ototoxicity and nephrotoxicity."
lithium,鋰鹽,pharmacology,"Toxicity may include GI symptoms, tremor and neurologic changes."
metformin,二甲雙胍,pharmacology,"Contrast studies and kidney issues may require special instructions."
nitroglycerin,硝酸甘油,pharmacology,"Avoid combination with PDE-5 inhibitors due to severe hypotension risk."
furosemide,呋塞米,pharmacology,"Loop diuretic; monitor fluid status and potassium."
spironolactone,螺內酯,pharmacology,"Potassium-sparing diuretic; hyperkalemia teaching matters."
vancomycin,萬古黴素,pharmacology,"Monitor infusion reaction and kidney-related safety per protocol."
uterine atony,子宮收縮乏力,maternal-child,"Boggy uterus with heavy lochia suggests bleeding risk."
fundal assessment,宮底評估,maternal-child,"Assess fundus and bleeding pattern before acting."
late decelerations,晚期減速,maternal-child,"May suggest uteroplacental insufficiency."
preeclampsia,子癲前症,maternal-child,"Headache, visual changes or RUQ pain can be warning cues."
newborn hypoglycemia,新生兒低血糖,maternal-child,"Jitteriness and poor feeding can be concerning cues."
grunting,呼吸呻吟,maternal-child,"Newborn respiratory distress cue."
nasal flaring,鼻翼煽動,maternal-child,"Respiratory distress cue."
acrocyanosis,肢端發紺,maternal-child,"Can be expected shortly after birth if central color is normal."
case study,案例題,NGN,"Multi-part item using evolving patient information."
bowtie item,Bowtie 題型,NGN,"NGN item linking condition, actions and parameters."
matrix item,矩陣題,NGN,"Item requiring multiple judgments across rows or columns."
highlight item,標註題,NGN,"Item asking learner to select relevant text."
drag and drop,拖放題,NGN,"Item requiring ordering, matching or categorizing."
partial credit,部分給分,NGN,"Some items award credit for partially correct responses."
distractor,干擾選項,test-strategy,"Wrong option designed to attract a predictable error."
wrong-answer taxonomy,錯題分類法,test-strategy,"System for tagging why an answer was missed."
knowledge gap,知識缺口,test-strategy,"Error caused by missing content knowledge."
cue recognition error,線索辨識錯誤,test-strategy,"Error caused by missing or misreading important data."
priority error,優先順序錯誤,test-strategy,"Error caused by choosing a true but nonurgent action."
scope error,職責範圍錯誤,test-strategy,"Error caused by delegating or assigning outside safe scope."
test anxiety,考試焦慮,test-strategy,"Emotional pressure that can impair reading and decision consistency."
readiness signal,備考信號,test-strategy,"Progress indicator, not a guarantee of passing."
OSCE station,OSCE 考站,osce,"Structured clinical performance task."
patient identification,病人身份確認,osce,"Use two identifiers before care."
consent,同意,osce,"Explain and obtain permission before assessment or procedure."
privacy,隱私,osce,"Protect dignity, curtains, exposure and confidentiality."
escalation,升級通報,osce,"Seek senior or provider help when risk exceeds routine nursing action."
