"risk_level","risk_score","review_priority","review_status","reviewer_name","review_date","item_id","category","source_file","generated","risk_reasons","stem","stem_zh","answer","rationale","rationale_zh","clinical_safety_notes","required_revision","approved_for_beta"
"high","100","review before beta","pending","","","NGN008","ngn","question_bank_expansion_50.json","no","high-risk category: ngn; high-risk keywords: breathing, oxygen, saturation, respiratory, shortness of breath, perfusion, pulmonary embolism; manual core item","Which cues are concerning in a client with possible pulmonary embolism? Select all that apply.","疑似肺栓塞病人哪些線索令人擔心？可多選。","A|B|C","Sudden dyspnea, pleuritic chest pain and low oxygen saturation are concerning respiratory/perfusion cues.","突發呼吸困難、呼吸性胸痛與低血氧提示呼吸/灌流風險。","","",""
"high","98","review before beta","pending","","","AUTO30_001","prioritization","question_bank_expansion_30.json","yes","high-risk category: prioritization; high-risk keywords: breathing, oxygen, saturation, respiratory, shortness of breath; scope/communication keywords: teach, teaching; generated expansion item","The nurse is caring for a postoperative client with new shortness of breath and oxygen saturation 88%. What should the nurse do first?","護理師照護一位術後病人，出現新發呼吸困難且血氧 88%。護理師應先做什麼？","A","New dyspnea with low oxygen saturation is an immediate breathing concern.","新發呼吸困難合併低血氧是立即的 breathing 風險。","","",""
"high","98","review before beta","pending","","","AUTO30_145","prioritization","question_bank_expansion_30.json","yes","high-risk category: prioritization; high-risk keywords: breathing, oxygen, saturation, respiratory, shortness of breath; scope/communication keywords: teach, teaching; generated expansion item","The nurse is caring for a postoperative client with new shortness of breath and oxygen saturation 88%. What should the nurse do first?","護理師照護一位術後病人，出現新發呼吸困難且血氧 88%。護理師應先做什麼？","A","New dyspnea with low oxygen saturation is an immediate breathing concern.","新發呼吸困難合併低血氧是立即的 breathing 風險。","","",""
"high","98","review before beta","pending","","","AUTO50_139","prioritization","question_bank_expansion_50.json","yes","high-risk category: prioritization; high-risk keywords: breathing, oxygen, saturation, respiratory, shortness of breath; scope/communication keywords: teach, teaching; generated expansion item","The nurse is caring for a postoperative client with new shortness of breath and oxygen saturation 88%. What should the nurse do first?","護理師照護一位術後病人，出現新發呼吸困難且血氧 88%。護理師應先做什麼？","A","New dyspnea with low oxygen saturation is an immediate breathing concern.","新發呼吸困難合併低血氧是立即的 breathing 風險。","","",""
"high","88","review before beta","pending","","","MC001","maternal_child","question_bank_beta_20.json","no","high-risk category: maternal_child; high-risk keywords: bleeding, postpartum, boggy, fundal, uterine; scope/communication keywords: assessment; manual core item","A postpartum client has a boggy uterus and heavy lochia. What should the nurse do first?","產後病人子宮鬆軟且惡露量多。護理師應先做什麼？","B","A boggy uterus with heavy lochia suggests uterine atony and bleeding risk. In this NCLEX-style context, fundal massage is the expected immediate nursing action for suspected atony, while real clinical practice should follow facility protocol and provider or midwifery guidance after assessment.","子宮鬆軟合併惡露量多提示子宮收縮乏力與出血風險，應立即按摩子宮底。","","",""
"high","86","review before beta","pending","","","AUTO30_002","pharmacology","question_bank_expansion_30.json","yes","high-risk category: pharmacology; high-risk keywords: bleeding, anticoagulation, warfarin, black stools; scope/communication keywords: teach; generated expansion item","A client taking warfarin needs nursing follow-up related to black stools. Which action is most appropriate?","使用 warfarin 的病人因黑便需要護理追蹤。哪項行動最合適？","B","Black stools may indicate gastrointestinal bleeding.","黑便可能提示胃腸道出血。","","",""
"high","86","review before beta","pending","","","AUTO30_038","pharmacology","question_bank_expansion_30.json","yes","high-risk category: pharmacology; high-risk keywords: bleeding, anticoagulation, warfarin, black stools; scope/communication keywords: teach; generated expansion item","A client taking warfarin needs nursing follow-up related to black stools. Which action is most appropriate?","使用 warfarin 的病人因黑便需要護理追蹤。哪項行動最合適？","B","Black stools may indicate gastrointestinal bleeding.","黑便可能提示胃腸道出血。","","",""
"high","86","review before beta","pending","","","AUTO30_074","pharmacology","question_bank_expansion_30.json","yes","high-risk category: pharmacology; high-risk keywords: bleeding, anticoagulation, warfarin, black stools; scope/communication keywords: teach; generated expansion item","A client taking warfarin needs nursing follow-up related to black stools. Which action is most appropriate?","使用 warfarin 的病人因黑便需要護理追蹤。哪項行動最合適？","B","Black stools may indicate gastrointestinal bleeding.","黑便可能提示胃腸道出血。","","",""
"high","86","review before beta","pending","","","AUTO30_082","prioritization","question_bank_expansion_30.json","yes","high-risk category: prioritization; high-risk keywords: hypoglycemia, blood glucose, hypoglycemia; scope/communication keywords: teach, teaching, assessment; generated expansion item","The nurse is caring for a client with diabetes with confusion, sweating and trembling. What should the nurse do first?","護理師照護一位糖尿病病人，出現混亂、出汗與顫抖。護理師應先做什麼？","B","These cues suggest possible hypoglycemia and require immediate assessment.","這些線索提示可能低血糖，需要立即評估。","","",""
"high","86","review before beta","pending","","","AUTO30_110","pharmacology","question_bank_expansion_30.json","yes","high-risk category: pharmacology; high-risk keywords: bleeding, anticoagulation, warfarin, black stools; scope/communication keywords: teach; generated expansion item","A client taking warfarin needs nursing follow-up related to black stools. Which action is most appropriate?","使用 warfarin 的病人因黑便需要護理追蹤。哪項行動最合適？","B","Black stools may indicate gastrointestinal bleeding.","黑便可能提示胃腸道出血。","","",""
