region,provider,official_url,city_or_campus,age_range,programme_type,residential_day_parent_child,dates_2026_or_next_available,fee_public_or_tbc,english_or_bilingual_requirement,application_route,why_fit_chinese_families,risk_or_unknown,source_status
Singapore,British Council Singapore,https://www.britishcouncil.sg/english-courses/kids-teens,Napier Road and Toa Payoh,4-16,English holiday camps,Day; under-6 parent accompaniment TBC,Holiday periods 2026 TBC,TBC,English levels mixed,Online booking / consultation,Trusted UK brand and structured English,Day-only so accommodation and guardian separate; exact 2026 camp dates TBC,official_page
Singapore,Camp Asia at Stamford American / Australian International,https://www.sais.edu.sg/school-life/camp-asia/,Woodleigh Campus and Early Learning Village,3-16,Multi-activity / STEM / sports / English Lab,Day 9am-3pm; under-6 parent accompaniment TBC,2026-06-15 to 2026-07-31,From approx SGD 715 / 5 days,English; English Lab for EAL,Online Camp Asia / WhatsApp / WeChat,WeChat and WhatsApp support; open to all; EAL English Lab,Day-only; accommodation and guardian separate; under-6 supervision TBC,official_page
Singapore,XCL World Academy XCL Camps,https://xwa.edu.sg/school-life/xcl-camps,Yishun Singapore,3-16,Sport / STEM / arts / multi-activity,Day 9am-3pm; under-6 parent accompaniment TBC,2026-06-22 to 2026-07-31; Dec 2026,From SGD 720 plus SGD 120 bus,English,Online booking / WhatsApp,Explicitly open to overseas families; lunch included; optional transport,Day-only; accommodation and guardian separate,official_page
Singapore,Tanglin Trust School Camp Beaumont,https://www.tts.edu.sg,Portsdown Road,3-12,Multi-activity day camp,Day; half-day option for infants,Summer 2026 TBC,Approx SGD 695 / 5 days,English,Via Camp Beaumont Asia,British school and young age band including 3yo,Run by third-party operator; under-6 ratio TBC,search_snippet_needs_official_check
Singapore,Maple Bear Singapore,https://www.maplebear.sg/programmes,Multiple centres,18 months-6,Bilingual preschool + June holiday programme,Day; under-6 parent accompaniment TBC,June 2026 holiday weeks TBC,TBC,Bilingual English + Mandarin,Centre enquiry,Canadian bilingual English + Mandarin early-years route,Holiday programme may favour enrolled/local families; international drop-in TBC,official_page
Singapore,Odyssey The Global Preschool,https://theodyssey.global,Multiple centres,8 months-6,Reggio preschool + holiday specials,Day; under-6 parent accompaniment TBC,Holiday specials 2026 TBC,TBC,English; Mandarin component TBC,Centre enquiry,Reggio-inspired early-years with very young intake,Holiday specials short/ad-hoc; international drop-in TBC,official_page
Singapore,Julia Gabriel Education,https://www.juliagabriel.com,Forum and United Square,6 months-18,Parent-accompanied playgroup + bilingual + holiday camps,Parent-child 6mo-3.5y; day for older,Holiday programmes 2026 TBC,TBC,Bilingual PlayClub English + Mandarin,Centre enquiry,Adult-accompanied bilingual PlayClub and China-facing signal,Premium fees TBC; holiday camp dates TBC,official_page
Singapore,Singapore American School,https://www.sas.edu.sg,Woodlands,TBC approx 4-14,Summer camp,Day,Summer 2026 TBC,TBC,English,School enquiry,Large US-curriculum campus and broad camps,Page not directly verified; details TBC,search_snippet_needs_official_check
Malaysia,British Council Malaysia,https://www.britishcouncil.my,KL / Penang centres,5-17,Young Learner Summer Camp + holiday courses,Day; under-6 n/a,Summer + 3-day holiday courses 2026 TBC,TBC,English levels,Online holiday-course webform,Trusted UK brand and intensive holiday English,Day-only; accommodation and guardian separate,official_page
Malaysia,Nexus International School Malaysia,https://www.nexus.edu.my/innovative-learning/wider-learning/holiday-camps/,Putrajaya,8-14,English-focus day camp; residential option via Arrowhead,Day 8:30-16:45; residential 1-2 weeks,Day 2026-06-29 to 2026-08-07; residential approx 2026-07-27 to 2026-08-09,Residential MYR 6000-11000 snippet; day TBC,English development,Online registration,All welcome; on-site nurse; English focus; residential for overseas,Residential pricing snippet-based; visa/guardian for minors TBC,official_page
Malaysia,Marlborough College Malaysia,https://www.marlboroughcollegemalaysia.org/college-life/holiday-camps/,Iskandar Puteri Johor,Day 3-12; residential 9-15,English language immersion day + residential,Day + residential,2026 Camp Beaumont / UKLC dates TBC,TBC,English language immersion,Via Camp Beaumont Asia,Near Singapore; Changi transfers arrangeable; residential option,Residential minors need guardian/visa check; dates TBC,official_page
Malaysia,Garden International School Arrowhead,https://www.gardenschool.edu.my,Mont Kiara Kuala Lumpur,4-12,Multi-activity day camp,Day 8:30-15:00,2026-06-29 to 2026-08-07,TBC,English,Via Arrowhead Skills,Established KL school in central Mont Kiara,Day-only; third-party operator; under-6 from age 4,official_page
Malaysia,Alice Smith School Camp Beaumont,https://www.alice-smith.edu.my/learn/camp-beaumont,Kuala Lumpur,3-12,STEAM + multi-activity day camp,Day; half-day Playtime 3-4yo,Summer 2026 TBC,TBC,English,Via Camp Beaumont Asia,Oldest British school in KL; STEAM; 3-4yo half-day option,Day-only; under-6 half-day only; dates TBC,official_page
Malaysia,ELC Malaysia,https://elcmy.edu.my/elc-courses/junior-program,Kuala Lumpur,TBC primary-age,English Summer Camp,Day,Summer Jun-Aug 2026; Winter Jan-Feb,TBC,English,Centre enquiry,Dedicated English camp in KL; long summer window,Age band and under-6 policy TBC; accommodation separate,official_page
Malaysia,Julia Gabriel Malaysia,http://www.juliagabriel.com.my,Kuala Lumpur,6 months-Primary 2,English and Mandarin holiday programmes,Parent-child for infants; day older,Holiday programmes 2026 TBC,TBC,Bilingual English + Mandarin,Centre enquiry,English + Mandarin; very young / parent-child; speech and drama,Snippet-based; exact dates/intake TBC,search_snippet_needs_official_check
Thailand,British Council Thailand,https://www.britishcouncil.or.th,Bangkok,6-17,English holiday courses,Day,Holiday courses 2026 TBC,TBC,English levels,Online enquiry,Trusted UK brand and immersive English,Day-only; under-6 not covered,search_snippet_needs_official_check
Thailand,Rugby School Thailand Wisdom Camps,https://www.rugbyschool.ac.th/camps-commercial/camps/,Chonburi near Pattaya,6-13,English + outdoor adventure,Day + residential,Summer 2026 reported sold out; next Dec 2026 / 2027 pipeline,TBC,English language learning,Online registration,Day + residential English and outdoor route,2026 summer sold out; minors residential need guardian/visa,official_page
Thailand,Harrow International School Bangkok,https://www.harrowschool.ac.th/holiday-programme,Bangkok,18 months-18,Summer camp + holiday programme,Day + boarding option older,Summer 2026 dates TBC,TBC,English,School enquiry,Boarding option for overseas teens; very wide age band,Boarding age limits and guardian rules TBC; under-6 day/parent TBC,official_page
Thailand,Shrewsbury International School Bangkok,https://www.shrewsbury.ac.th,Riverside and City Campus,3-17,Holiday sports + educational camps,Day,Summer 2026 dates TBC,TBC,English,School enquiry,Two Bangkok campuses; sports + educational mix,Day-only; under-6 supervision TBC,official_page
Thailand,Bangkok Patana School,https://www.patana.ac.th,Bangkok Bang Na,TBC,Holiday sports / gymnastics / swim camps,Day,Summer 2026 dates TBC,TBC,English,School enquiry,Leading British school and strong sports camps,Sports-focused; academic/English camp scope TBC; day-only,official_page
Thailand,ELC International Schools Bangkok,https://www.elc.ac.th/summer-school,Bangkok Purple Elephant Samakee,18 months-11,Early-years + primary summer programme,Day 8:30-12:30; under-6 parent accompaniment TBC,Jun and Jul 2026 sessions,Approx THB 13800 / 5 days snippet,English,Online enquiry,Open to new and community families; very young intake,Snippet-based fee; under-6 accompaniment TBC; day-only,search_snippet_needs_official_check
Thailand,NIST International School,https://www.nist.ac.th/admissions/faqs,Bangkok Sukhumvit,TBC,Summer holiday activities,Day,Summer 2026 TBC,TBC,English,School enquiry,Full-IB school in central Bangkok,Overseas drop-in intake TBC,official_page
