provider,contact_name,contact_email,programme_route,latest_status,incoming_message_id,reply_message_id,next_action,notes
Oxford Summer Courses,Yao Zhou,yaozhou@oxfordsummercourses.com,Oxford/Cambridge academic summer courses,maria_takeover_partner_agreement_requested,19e6d77d16a4adde,19e70ecbf85a9d7e,await_partner_agreement_and_application_link,"Maria Shaw replied with OTC agent details, company number 11060519, registered address, gross-paying preference and main contact flow."
CSVPA / Stafford House Study Holidays,Jennifer Zhang,jzhang@catsglobalschools.com,CSVPA and Stafford House summer schools,maria_takeover_onboarding_requested,19e6c33c51e0e7d8,19e70eceece08d8c,await_fee_sheet_agent_terms_and_booking_flow,"Jennifer confirmed she handles Stafford House recruitment in China and CSVPA is operated with SHSH. Maria Shaw requested 2026 fees, onboarding, commission/referral terms and booking procedure."
Immerse Education,Pearly Sze,pearly.sze@immerse.education,Academic and career-enrichment summer programmes,maria_takeover_partner_process_requested,19e68b09ac3ed0df,19e70ed1656049a5,await_agent_agreement_tracking_and_terms,"Pearly shared 2026 prospectus, dates and fees. Maria Shaw requested formal onboarding, referral tracking, commission terms, family/group arrangements and enrolment contact flow before booking a meeting."
ISSOS,Emma Horner,emmahorner@issos.com,Fully residential international summer school,maria_takeover_agent_agreement_requested,19e68a9ca1f8aa16,19e70ed3ec729094,await_agent_agreement_fee_sheet_availability,"ISSOS confirmed agent work, 20% commission, 10% nationality cap, A2 minimum English and GBP 7900 fee. Maria Shaw requested agreement, fee sheet, availability and placement-test process."
Concord College Summer School,Isabelle Hubbard,summer@concordcollege.org.uk,Concord College residential summer school,maria_takeover_reference_format_requested,19e64f7922edfd11,19e70ed67ccccd3d,prepare_two_uk_reference_contacts,"Concord confirmed agent process starts with two UK-based educational establishment references. Maria Shaw asked for preferred reference format before sending details."
Reach Cambridge,Katy / Reach Cambridge Admissions,admissions@reachcambridge.com,Cambridge academic summer programmes,maria_takeover_onboarding_requested,19e64d328e2104b8,19e70ed8fef6b589,await_agent_onboarding_dates_fees_terms,"Reach Cambridge invited OTC to book an agent-team call. Maria Shaw requested partner onboarding steps, 2026 dates/fees/availability, commission terms and tracking process before scheduling."
MPW Summer School,Izzy Holmes / Helena Cheng,summerschool@mpw.ac.uk; Helena.Cheng@mpw.ac.uk,London and Cambridge academic summer school,maria_takeover_agent_terms_requested,19e6485b5ef6fbf2,19e70ef47ef799cf,await_helena_agent_onboarding_and_availability,"MPW confirmed agent work, copied Helena Cheng for Chinese-speaking student recruitment, shared 2026 brochure, dates, fees and application process. Maria Shaw requested agent onboarding, commission/referral terms, tracking, availability by stream and payment/contact flow."
Oxford Royale,Dan Metcalfe,agentpartnerships@oxford-royale.co.uk,Oxford Royale summer programmes,maria_takeover_source_market_clarification,19e646c73940dc46,19e70ef6caadde6f,await_permission_for_non_mainland_china_sources,"Oxford Royale noted a mainland China exclusivity arrangement. Maria Shaw clarified OTC supports Chinese-speaking families outside mainland China too and asked whether direct cooperation is possible for UK-based, Hong Kong, Macau and other non-mainland sources."
TASIS England Summer Program,Jennifer Yeadon,jyeadon@tasisengland.org,TASIS England residential summer program,maria_takeover_agent_agreement_review,19e645884eb4df94,19e70ef946c281e2,await_agent_terms_availability_and_tracking_details,"TASIS shared Summer Infographic, application form and agent agreement form. Maria Shaw replied as takeover contact and requested confirmation of onboarding step, availability, commission/referral terms, tracking and sibling/group/early-booking arrangements."
Academic Summer / Academic Camp,Betty Ho,betty.ho@academiccamp.co.uk,London Westminster at DLD College London and West Country at Sidcot School Bristol,maria_takeover_partner_terms_requested,19e73ea988a30db8,19e77763bb692426,await_2026_brochure_fee_sheet_terms_and_meeting_confirmation,"Betty introduced Academic Summer as a BAC-accredited UK summer school provider established in 2010 for ages 7-17, with boarding and day options, London Westminster and West Country locations, project-based CLIL learning and Career Pathways. Maria Shaw requested 2026 brochure, dates, age ranges, fees, availability, agent onboarding, agreement, commission, group/sibling terms, referral tracking, booking/payment flow and meeting route confirmation."
